Radio_type,MCC,MNC,Location_Code,CID,Latitude,Longitude,Range,Samples,Change=1,Change=0,Created,Updated,av_signal
UMTS,645,1,2108,621639,0,28.24653625,-12.56492615,1000,1,1,1444168941,1444168941,0
UMTS,645,1,2108,621636,0,28.24104309,-12.56492615,1000,1,1,1444737181,1444737181,0
UMTS,645,1,2108,627075,0,26.45027161,-12.19413757,1000,1,1,1455857493,1455857493,0
UMTS,645,1,2108,630969,0,28.58161926,-12.98240662,1000,1,1,1442364109,1442364109,0
UMTS,645,1,2108,629849,0,28.25752258,-12.55943298,1000,1,1,1444168935,1444168935,0
UMTS,645,1,2110,620975,0,28.63243103,-12.970047,1000,1,1,1432432280,1432432280,0
UMTS,645,1,2108,642066,0,28.19709778,-12.60612488,1000,1,1,1444737185,1444737185,0
UMTS,645,1,2108,629846,0,28.25340271,-12.56217957,1000,1,1,1444737181,1444737181,0
UMTS,645,1,2108,630376,0,28.45115662,-13.01811218,1000,1,1,1444096674,1444096674,0
UMTS,645,1,2108,628630,0,26.40083313,-12.17079163,1000,6,1,1458861240,1473557137,0
UMTS,645,1,2108,630929,0,28.42918396,-13.11698914,1000,1,1,1453315502,1453315502,0
UMTS,645,1,3108,164076,0,28.443288,-14.438024,1352,6,1,1458861241,1492540200,0
UMTS,645,1,3108,164225,0,28.41957092,-14.4216156,1000,1,1,1442364109,1442364109,0
UMTS,645,1,3108,163236,0,28.47312927,-15.85670471,1000,1,1,1449135442,1449135442,0
UMTS,645,1,3108,163123,0,28.85202,-16.027267,1000,10,1,1458861241,1491533088,0
UMTS,645,1,3108,163237,0,28.46626282,-15.85395813,1000,1,1,1449227288,1449227288,0
UMTS,645,1,3108,163634,0,28.45527649,-15.2936554,1000,1,1,1452412668,1452412668,0
UMTS,645,1,3108,164218,0,28.38661194,-14.50675964,1000,1,1,1444096678,1444096678,0
UMTS,645,1,3108,164214,0,28.43144,-14.454976,1879,3,1,1458861241,1492540200,0
UMTS,645,1,3108,163555,0,27.228242,-16.781617,2145,2,1,1458861241,1481774491,0
UMTS,645,1,3108,163284,0,27.61070251,-16.50352478,1000,1,1,1443193274,1443193274,0
UMTS,645,1,3108,164404,0,28.461456,-14.423676,1000,2,1,1391063467,1450653646,0
UMTS,645,1,3108,169074,0,28.13529968,-15.36506653,1000,1,1,1453204071,1453204071,0
UMTS,645,1,3108,164683,0,28.054276,-14.832916,1000,2,1,1458861241,1476179778,0
UMTS,645,1,3108,168604,0,28.49098206,-14.40788269,1000,1,1,1428573217,1428573217,0
UMTS,645,1,3108,168236,0,23.15094,-15.281982,1000,2,1,1458861241,1482105554,0
UMTS,645,1,3108,168117,0,24.34501648,-17.46757507,1000,1,1,1449633839,1449633839,0
UMTS,645,1,3108,173585,0,28.24928284,-15.6287384,1000,1,1,1444705177,1444705177,0
UMTS,645,1,3108,172364,0,25.8707428,-17.85758972,1000,1,1,1456886063,1456886063,0
UMTS,645,1,3108,172867,0,29.42344666,-13.64021301,1000,1,1,1457081554,1457081554,0
UMTS,645,1,3108,172933,0,28.25889587,-15.47492981,1000,1,1,1452299451,1452299451,0
UMTS,645,1,3108,171743,0,28.08174133,-14.92149353,1000,2,1,1458861242,1477472591,0
UMTS,645,1,3108,182997,0,23.13926697,-15.26618958,1000,1,1,1429758328,1429758328,0
UMTS,645,1,3109,161254,0,28.35639954,-15.38017273,1000,1,1,1437716049,1437716049,0
UMTS,645,1,3109,161601,0,28.352702,-15.450844,1000,13,1,1458861242,1489715764,0
UMTS,645,1,3109,161924,0,28.29185486,-15.45845032,1000,1,1,1442664369,1442664369,0
